Accession ID,Cluster,Sequence Length,NCBI ID,Protein Name,Taxonomy ID,Scientific Name,Kingdom
MBU0777770,Archaeal Alba,95,gb|MBU0777770.1|,DNA-binding protein Alba [Patescibacteria group bacterium],2052139,Patescibacteria group bacterium,Bacteria
MBU0627574,Archaeal Alba,93,gb|MBU0627574.1|,DNA-binding protein Alba [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
HGZ58509,Archaeal Alba,121,tpg|HGZ58509.1|,DNA-binding protein Alba [Euryarchaeota archaeon],2026739,Euryarchaeota archaeon,Archaea
MBU0532121,Archaeal Alba,98,gb|MBU0532121.1|,DNA-binding protein Alba [Candidatus Micrarchaeota archaeon],2250274,Candidatus Micrarchaeota archaeon,Archaea
MBU0635651,Archaeal Alba,89,gb|MBU0635651.1|,DNA-binding protein Alba [Candidatus Micrarchaeota archaeon],2250274,Candidatus Micrarchaeota archaeon,Archaea
MBU0623768,Archaeal Alba,90,gb|MBU0623768.1|,DNA-binding protein Alba [Candidatus Thermoplasmatota archaeon],2806419,Candidatus Thermoplasmatota archaeon,Archaea
MBU0591386,Archaeal Alba,101,gb|MBU0591386.1|,DNA-binding protein Alba [Candidatus Micrarchaeota archaeon],2250274,Candidatus Micrarchaeota archaeon,Archaea
MBU0667191,Archaeal Alba,98,gb|MBU0667191.1|,DNA-binding protein Alba [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
MBU0615957,Archaeal Alba,93,gb|MBU0615957.1|,DNA-binding protein Alba [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
MBU0472431,Archaeal Alba,94,gb|MBU0472431.1|,DNA-binding protein Alba [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
MBU0528003,Archaeal Alba,124,gb|MBU0528003.1|,DNA-binding protein Alba [Candidatus Micrarchaeota archaeon],2250274,Candidatus Micrarchaeota archaeon,Archaea
MBU0497825,Archaeal Alba,50,gb|MBU0497825.1|,hypothetical protein [Candidatus Thermoplasmatota archaeon],2806419,Candidatus Thermoplasmatota archaeon,Archaea
HHA12739,Archaeal Alba,89,tpg|HHA12739.1|,DNA-binding protein Alba [Euryarchaeota archaeon],2026739,Euryarchaeota archaeon,Archaea
HHC19088,Archaeal Alba,91,tpg|HHC19088.1|,DNA-binding protein Alba [Euryarchaeota archaeon],2026739,Euryarchaeota archaeon,Archaea
HEC96364,Archaeal Alba,92,tpg|HEC96364.1|,DNA-binding protein Alba [Euryarchaeota archaeon],2026739,Euryarchaeota archaeon,Archaea
HHD72086,Archaeal Alba,106,tpg|HHD72086.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HHE77771,Archaeal Alba,89,tpg|HHE77771.1|,DNA-binding protein Alba [Thermoplasmatales archaeon],2268204,Thermoplasmatales archaeon,Archaea
HHF47816,Archaeal Alba,92,tpg|HHF47816.1|,DNA-binding protein Alba [Geoglobus ahangari],113653,Geoglobus ahangari,Archaea
HHF55536,Archaeal Alba,93,tpg|HHF55536.1|,DNA-binding protein Alba [Thermoplasmatales archaeon],2268204,Thermoplasmatales archaeon,Archaea
RLF51014,Archaeal Alba,96,gb|RLF51014.1|,DNA-binding protein Alba [Thermoplasmata archaeon],1906666,Thermoplasmata archaeon,Archaea
HHO57156,Archaeal Alba,93,tpg|HHO57156.1|,DNA-binding protein Alba [Thermoplasmatales archaeon],2268204,Thermoplasmatales archaeon,Archaea
RKY63913,Archaeal Alba,93,gb|RKY63913.1|,DNA-binding protein Alba [Candidatus Latescibacteria bacterium],2053570,Candidatus Latescibacteria bacterium,Bacteria
RLF46225,Archaeal Alba,93,gb|RLF46225.1|,DNA-binding protein Alba [Thermoplasmata archaeon],1906666,Thermoplasmata archaeon,Archaea
HEC75749,Archaeal Alba,92,tpg|HEC75749.1|,DNA-binding protein Alba [Thermoplasmatales archaeon],2268204,Thermoplasmatales archaeon,Archaea
MBC7080945,Archaeal Alba,90,gb|MBC7080945.1|,DNA-binding protein Alba [Thermoplasmatales archaeon],2268204,Thermoplasmatales archaeon,Archaea
HHF94263,Archaeal Alba,99,tpg|HHF94263.1|,DNA-binding protein Alba [Candidatus Pacearchaeota archaeon],2026773,Candidatus Pacearchaeota archaeon,Archaea
HHG28533,Archaeal Alba,68,tpg|HHG28533.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HHK30732,Archaeal Alba,94,tpg|HHK30732.1|,DNA-binding protein Alba [Candidatus Nanopusillus sp.],2268188,Candidatus Nanopusillus sp.,Archaea
HFP18060,Archaeal Alba,94,tpg|HFP18060.1|,DNA-binding protein Alba [Candidatus Nanopusillus sp.],2268188,Candidatus Nanopusillus sp.,Archaea
HHK67602,Archaeal Alba,94,tpg|HHK67602.1|,RNA-binding protein [Candidatus Caldarchaeum subterraneum],311458,Candidatus Caldarchaeum subterraneum,Archaea
HHK67974,Archaeal Alba,94,tpg|HHK67974.1|,DNA-binding protein Alba [Candidatus Caldarchaeum subterraneum],311458,Candidatus Caldarchaeum subterraneum,Archaea
HHL04126,Archaeal Alba,93,tpg|HHL04126.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HHM63903,Archaeal Alba,92,tpg|HHM63903.1|,DNA-binding protein Alba [Candidatus Micrarchaeota archaeon],2250274,Candidatus Micrarchaeota archaeon,Archaea
HHM92694,Archaeal Alba,86,tpg|HHM92694.1|,DNA/RNA-binding protein AlbA [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HHN52994,Archaeal Alba,87,tpg|HHN52994.1|,DNA-binding protein Alba [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HHO64249,Archaeal Alba,85,tpg|HHO64249.1|,RNA-binding protein [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGB90779,Archaeal Alba,89,tpg|HGB90779.1|,RNA-binding protein [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGU73636,Archaeal Alba,85,tpg|HGU73636.1|,RNA-binding protein [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HHO64578,Archaeal Alba,101,tpg|HHO64578.1|,DNA-binding protein Alba [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGB91582,Archaeal Alba,101,tpg|HGB91582.1|,DNA-binding protein Alba [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HHO64805,Archaeal Alba,53,tpg|HHO64805.1|,RNA-binding protein [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HHP24456,Archaeal Alba,91,tpg|HHP24456.1|,DNA-binding protein Alba [Candidatus Aenigmarchaeota archaeon],2093792,Candidatus Aenigmarchaeota archaeon,Archaea
ABN70067,Archaeal Alba,89,gb|ABN70067.1|,"Alba, DNA/RNA-binding protein [Staphylothermus marinus F1]",399550,Staphylothermus marinus F1,Archaea
ADI32585,Archaeal Alba,97,gb|ADI32585.1|,"Alba, DNA/RNA-binding protein [Staphylothermus hellenicus DSM 12710]",591019,Staphylothermus hellenicus DSM 12710,Archaea
WP_148677214,Archaeal Alba,89,ref|WP_148677214.1|,DNA-binding protein [Staphylothermus hellenicus],84599,Staphylothermus hellenicus,Archaea
WP_212577005,Archaeal Alba,79,ref|WP_212577005.1|,DNA-binding protein [Staphylothermus marinus],2280,Staphylothermus marinus,Archaea
HHP27803,Archaeal Alba,87,tpg|HHP27803.1|,RNA-binding protein [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HHP52182,Archaeal Alba,57,tpg|HHP52182.1|,RNA-binding protein [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HHP53503,Archaeal Alba,93,tpg|HHP53503.1|,DNA-binding protein [Desulfurococcaceae archaeon],2184738,Desulfurococcaceae archaeon,Archaea
HHP19113,Archaeal Alba,93,tpg|HHP19113.1|,DNA-binding protein [Desulfurococcaceae archaeon],2184738,Desulfurococcaceae archaeon,Archaea
HEV51468,Archaeal Alba,113,tpg|HEV51468.1|,DNA-binding protein Alba [Thermoprotei archaeon],2250277,Thermoprotei archaeon,Archaea
HHP61513,Archaeal Alba,114,tpg|HHP61513.1|,RNA-binding protein [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
WP_211532427,Archaeal Alba,91,ref|WP_211532427.1|,DNA-binding protein Alba [Methanobacterium sp. MethCAN],2731220,Methanobacterium sp. MethCAN,Archaea
MBU4535840,Archaeal Alba,92,gb|MBU4535840.1|,DNA-binding protein Alba [Euryarchaeota archaeon],2026739,Euryarchaeota archaeon,Archaea
MBS3085275,Archaeal Alba,102,gb|MBS3085275.1|,DNA-binding protein Alba [Candidatus Pacearchaeota archaeon],2026773,Candidatus Pacearchaeota archaeon,Archaea
MBS3095127,Archaeal Alba,71,gb|MBS3095127.1|,RNA-binding protein [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBS3098435,Archaeal Alba,92,gb|MBS3098435.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBS3115653,Archaeal Alba,96,gb|MBS3115653.1|,DNA/RNA-binding protein AlbA [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBS3090739,Archaeal Alba,105,gb|MBS3090739.1|,DNA-binding protein Alba [Candidatus Pacearchaeota archaeon],2026773,Candidatus Pacearchaeota archaeon,Archaea
MBS3135913,Archaeal Alba,94,gb|MBS3135913.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBS3132783,Archaeal Alba,105,gb|MBS3132783.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBS3116509,Archaeal Alba,93,gb|MBS3116509.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBS3123989,Archaeal Alba,95,gb|MBS3123989.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBI2151572,Archaeal Alba,97,gb|MBI2151572.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
HHP61651,Archaeal Alba,109,tpg|HHP61651.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
MBS3112503,Archaeal Alba,65,gb|MBS3112503.1|,hypothetical protein [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBS3107969,Archaeal Alba,93,gb|MBS3107969.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBS3146127,Archaeal Alba,96,gb|MBS3146127.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
AQS31983,Archaeal Alba,97,gb|AQS31983.1|,hypothetical protein [uncultured archaeon],115547,uncultured archaeon,Archaea
MBS3117404,Archaeal Alba,97,gb|MBS3117404.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBS3128554,Archaeal Alba,102,gb|MBS3128554.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBS3131233,Archaeal Alba,92,gb|MBS3131233.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBS3144872,Archaeal Alba,107,gb|MBS3144872.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBS3150931,Archaeal Alba,116,gb|MBS3150931.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBS3118848,Archaeal Alba,94,gb|MBS3118848.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBS3137869,Archaeal Alba,94,gb|MBS3137869.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MBI5392309,Archaeal Alba,94,gb|MBI5392309.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
HHP62483,Archaeal Alba,91,tpg|HHP62483.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
MBS3127251,Archaeal Alba,93,gb|MBS3127251.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
HHP73422,Archaeal Alba,91,tpg|HHP73422.1|,DNA-binding protein [Desulfurococcaceae archaeon],2184738,Desulfurococcaceae archaeon,Archaea
HHP77709,Archaeal Alba,110,tpg|HHP77709.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
KON27757,Archaeal Alba,102,gb|KON27757.1|,hypothetical protein AC481_03895 [miscellaneous Crenarchaeota group archaeon SMTZ-80],1685135,miscellaneous Crenarchaeota group archaeon SMTZ-80,Archaea
KON27875,Archaeal Alba,79,gb|KON27875.1|,hypothetical protein AC481_03665 [miscellaneous Crenarchaeota group archaeon SMTZ-80],1685135,miscellaneous Crenarchaeota group archaeon SMTZ-80,Archaea
KON28304,Archaeal Alba,75,gb|KON28304.1|,hypothetical protein AC481_02085 [miscellaneous Crenarchaeota group archaeon SMTZ-80],1685135,miscellaneous Crenarchaeota group archaeon SMTZ-80,Archaea
KON29225,Archaeal Alba,102,gb|KON29225.1|,hypothetical protein AC482_07090 [miscellaneous Crenarchaeota group-15 archaeon DG-45],1685127,miscellaneous Crenarchaeota group-15 archaeon DG-45,Archaea
KON29441,Archaeal Alba,81,gb|KON29441.1|,hypothetical protein AC482_06485 [miscellaneous Crenarchaeota group-15 archaeon DG-45],1685127,miscellaneous Crenarchaeota group-15 archaeon DG-45,Archaea
KON29924,Archaeal Alba,91,gb|KON29924.1|,RNA-binding protein [miscellaneous Crenarchaeota group-15 archaeon DG-45],1685127,miscellaneous Crenarchaeota group-15 archaeon DG-45,Archaea
KON30394,Archaeal Alba,93,gb|KON30394.1|,RNA-binding protein [miscellaneous Crenarchaeota group archaeon SMTZ1-55],1685133,miscellaneous Crenarchaeota group archaeon SMTZ1-55,Archaea
KON32693,Archaeal Alba,80,gb|KON32693.1|,hypothetical protein AC479_07005 [miscellaneous Crenarchaeota group-6 archaeon AD8-1],1685126,miscellaneous Crenarchaeota group-6 archaeon AD8-1,Archaea
KYK37722,Archaeal Alba,100,gb|KYK37722.1|,RNA-binding protein [Theionarchaea archaeon DG-70],1803813,Theionarchaea archaeon DG-70,Archaea
MAE13802,Archaeal Alba,93,gb|MAE13802.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MAE39242,Archaeal Alba,103,gb|MAE39242.1|,RNA-binding protein [Euryarchaeota archaeon],2026739,Euryarchaeota archaeon,Archaea
MAE56799,Archaeal Alba,187,gb|MAE56799.1|,hypothetical protein [Euryarchaeota archaeon],2026739,Euryarchaeota archaeon,Archaea
HIH78924,Archaeal Alba,187,tpg|HIH78924.1|,hypothetical protein [Candidatus Poseidoniia archaeon],2666348,Candidatus Poseidoniia archaeon,Archaea
MAF50859,Archaeal Alba,115,gb|MAF50859.1|,DNA-binding protein [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
MAF93600,Archaeal Alba,106,gb|MAF93600.1|,RNA-binding protein [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MAH40925,Archaeal Alba,106,gb|MAH40925.1|,RNA-binding protein [Verrucomicrobiales bacterium],2026801,Verrucomicrobiales bacterium,Bacteria
MBH34391,Archaeal Alba,106,gb|MBH34391.1|,RNA-binding protein [Euryarchaeota archaeon],2026739,Euryarchaeota archaeon,Archaea
RJU99892,Archaeal Alba,106,gb|RJU99892.1|,RNA-binding protein [Candidatus Poseidoniales archaeon],2163009,Candidatus Poseidoniales archaeon,Archaea
MAF99125,Archaeal Alba,91,gb|MAF99125.1|,DNA-binding protein Alba [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
MAG07523,Archaeal Alba,110,gb|MAG07523.1|,DNA-binding protein Alba [Candidatus Pacearchaeota archaeon],2026773,Candidatus Pacearchaeota archaeon,Archaea
MAG08627,Archaeal Alba,94,gb|MAG08627.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
MAG16312,Archaeal Alba,108,gb|MAG16312.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
RLG16313,Archaeal Alba,95,gb|RLG16313.1|,DNA-binding protein Alba [Candidatus Pacearchaeota archaeon],2026773,Candidatus Pacearchaeota archaeon,Archaea
RLG16948,Archaeal Alba,88,gb|RLG16948.1|,DNA-binding protein Alba [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
RLG17180,Archaeal Alba,89,gb|RLG17180.1|,DNA-binding protein Alba [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
RLG17948,Archaeal Alba,93,gb|RLG17948.1|,DNA-binding protein Alba [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
HGO18853,Archaeal Alba,93,tpg|HGO18853.1|,DNA-binding protein Alba [Candidatus Aenigmarchaeota archaeon],2093792,Candidatus Aenigmarchaeota archaeon,Archaea
RLG18191,Archaeal Alba,85,gb|RLG18191.1|,DNA-binding protein Alba [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
RLG18835,Archaeal Alba,93,gb|RLG18835.1|,DNA-binding protein Alba [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
RLG18908,Archaeal Alba,90,gb|RLG18908.1|,DNA-binding protein Alba [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
RLG19030,Archaeal Alba,89,gb|RLG19030.1|,DNA-binding protein Alba [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
RLG21375,Archaeal Alba,104,gb|RLG21375.1|,DNA-binding protein Alba [Candidatus Micrarchaeota archaeon],2250274,Candidatus Micrarchaeota archaeon,Archaea
RLG21485,Archaeal Alba,92,gb|RLG21485.1|,DNA-binding protein Alba [Methanosarcinales archaeon],2250255,Methanosarcinales archaeon,Archaea
RLG24265,Archaeal Alba,88,gb|RLG24265.1|,DNA-binding protein Alba [Methanosarcinales archaeon],2250255,Methanosarcinales archaeon,Archaea
RZB28924,Archaeal Alba,88,gb|RZB28924.1|,archaea-specific DNA-binding protein [Candidatus Argoarchaeum ethanivorans],2608793,Candidatus Argoarchaeum ethanivorans,Archaea
RZN14754,Archaeal Alba,88,gb|RZN14754.1|,DNA-binding protein Alba [Methanosarcinales archaeon],2250255,Methanosarcinales archaeon,Archaea
OYT62209,Archaeal Alba,90,gb|OYT62209.1|,DNA-binding protein Alba [Methanosarcinales archaeon ex4484_138],1978123,Methanosarcinales archaeon ex4484_138,Archaea
CAD7768922,Archaeal Alba,90,emb|CAD7768922.1|,DNA/RNA-binding protein Alba 2 [Candidatus Methanoperedenaceae archaeon GB50],2691038,Candidatus Methanoperedenaceae archaeon GB50,Archaea
RLG34635,Archaeal Alba,92,gb|RLG34635.1|,DNA-binding protein Alba [Methanosarcinales archaeon],2250255,Methanosarcinales archaeon,Archaea
RJS74246,Archaeal Alba,92,gb|RJS74246.1|,DNA-binding protein Alba [Methanophagales archaeon],2056316,Methanophagales archaeon,Archaea
KAF5436164,Archaeal Alba,92,gb|KAF5436164.1|,DNA-binding protein [Methanophagales archaeon],2056316,Methanophagales archaeon,Archaea
NQE45623,Archaeal Alba,92,gb|NQE45623.1|,DNA/RNA-binding protein Alba 2 [ANME-1 cluster archaeon GoMg2],2081358,ANME-1 cluster archaeon GoMg2,Archaea
NQE06302,Archaeal Alba,87,gb|NQE06302.1|,DNA/RNA-binding protein Alba 2 [ANME-1 cluster archaeon GoMg1],2081359,ANME-1 cluster archaeon GoMg1,Archaea
QNO56714,Archaeal Alba,87,gb|QNO56714.1|,DNA/RNA-binding protein Alba 2 [Methanosarcinales archaeon ANME-1 ERB7],2759913,Methanosarcinales archaeon ANME-1 ERB7,Archaea
RLG37100,Archaeal Alba,92,gb|RLG37100.1|,DNA-binding protein Alba [Methanosarcinales archaeon],2250255,Methanosarcinales archaeon,Archaea
RLG37452,Archaeal Alba,92,gb|RLG37452.1|,DNA-binding protein Alba [Methanosarcinales archaeon],2250255,Methanosarcinales archaeon,Archaea
RLG42882,Archaeal Alba,91,gb|RLG42882.1|,DNA-binding protein Alba [Candidatus Korarchaeota archaeon],2056630,Candidatus Korarchaeota archaeon,Archaea
RLG43144,Archaeal Alba,99,gb|RLG43144.1|,DNA-binding protein Alba [Candidatus Korarchaeota archaeon],2056630,Candidatus Korarchaeota archaeon,Archaea
RLG45888,Archaeal Alba,96,gb|RLG45888.1|,DNA-binding protein Alba [Candidatus Korarchaeota archaeon],2056630,Candidatus Korarchaeota archaeon,Archaea
RLG52170,Archaeal Alba,90,gb|RLG52170.1|,DNA-binding protein Alba [Candidatus Korarchaeota archaeon],2056630,Candidatus Korarchaeota archaeon,Archaea
RLG56182,Archaeal Alba,91,gb|RLG56182.1|,DNA-binding protein Alba [Candidatus Hydrothermarchaeota archaeon],2250275,Candidatus Hydrothermarchaeota archaeon,Archaea
RLF58015,Archaeal Alba,91,gb|RLF58015.1|,DNA-binding protein Alba [Thermoplasmata archaeon],1906666,Thermoplasmata archaeon,Archaea
RLG56923,Archaeal Alba,101,gb|RLG56923.1|,DNA-binding protein Alba [Hadesarchaea archaeon],2250276,Hadesarchaea archaeon,Archaea
HID60713,Archaeal Alba,101,tpg|HID60713.1|,DNA-binding protein Alba [Hadesarchaea archaeon],2250276,Hadesarchaea archaeon,Archaea
